Department,ADM1_PCODE,Commune,ADM2_PCODE,Population,JIAF_Sector_Coverage_Pct,Deprivation_Index_Comp,Deprivation_Index_Max,Baseline_Mean,Baseline_Absent_Pct,Baseline_MinTP_Pct,Baseline_P10_Pct,Baseline_MaxSSS_Pct,Baseline_Risk_Comp,Baseline_Risk_Comp_Pct,Baseline_Risk_Comp_Cat,Baseline_Risk_Max,Baseline_Risk_Max_Pct,Baseline_Risk_Max_Cat,WL15_Mean,WL15_Absent_Pct,WL15_MinTP_Pct,WL15_P10_Pct,WL15_MaxSSS_Pct,WL15_Risk_Comp,WL15_Risk_Comp_Pct,WL15_Risk_Comp_Cat,WL15_Risk_Max,WL15_Risk_Max_Pct,WL15_Risk_Max_Cat,WL2_Mean,WL2_Absent_Pct,WL2_MinTP_Pct,WL2_P10_Pct,WL2_MaxSSS_Pct,WL2_Risk_Comp,WL2_Risk_Comp_Pct,WL2_Risk_Comp_Cat,WL2_Risk_Max,WL2_Risk_Max_Pct,WL2_Risk_Max_Cat,WL3_Mean,WL3_Absent_Pct,WL3_MinTP_Pct,WL3_P10_Pct,WL3_MaxSSS_Pct,WL3_Risk_Comp,WL3_Risk_Comp_Pct,WL3_Risk_Comp_Cat,WL3_Risk_Max,WL3_Risk_Max_Pct,WL3_Risk_Max_Cat,WL4_Mean,WL4_Absent_Pct,WL4_MinTP_Pct,WL4_P10_Pct,WL4_MaxSSS_Pct,WL4_Risk_Comp,WL4_Risk_Comp_Pct,WL4_Risk_Comp_Cat,WL4_Risk_Max,WL4_Risk_Max_Pct,WL4_Risk_Max_Cat
Artibonite,HT05,Anse Rouge,HT0523,143319,100,0.134,0.048,0.606,14.6,85.4,75.6,16.3,0.0089,69.0647,Moderate,0.0032,58.2734,Moderate,0.7,8.5,91.5,87.9,55.1,0.0101,56.8345,Moderate,0.0036,45.3237,Low,0.721,7.3,92.7,90.2,65,0.0106,55.3957,Moderate,0.0038,42.446,Low,0.751,3.2,96.8,92.7,82.4,0.0106,46.7626,Low,0.0038,37.4101,Low,0.783,0.7,99.3,97,88.9,0.0109,41.0072,Low,0.0039,30.2158,Low
Artibonite,HT05,Desdunes,HT0544,62079,100,0.271,0.122,0.82,0,100,100,100,0.0102,73.3813,Moderate,0.0046,67.6259,Moderate,0.818,0,100,100,100,0.0098,55.3957,Moderate,0.0044,53.2374,Moderate,0.815,0,100,100,100,0.0098,50.3597,Moderate,0.0044,46.7626,Low,0.811,0,100,100,100,0.0094,41.0072,Low,0.0042,41.0072,Low,0.808,0,100,100,100,0.0092,34.5324,Low,0.0041,32.3741,Low
Artibonite,HT05,Dessalines,HT0541,281716,100,0.319,0.147,0.442,48.7,51.3,44.7,33.8,0.0289,89.9281,High,0.0133,89.2086,High,0.523,35.9,64.1,55.2,38.2,0.0338,87.7698,High,0.0156,84.8921,High,0.569,29.1,70.9,63.4,43.9,0.0375,87.0504,High,0.0173,84.8921,High,0.646,17.7,82.3,75.3,57.7,0.0412,84.8921,High,0.019,83.4532,High,0.756,0.9,99.1,93.7,75,0.0493,87.0504,High,0.0227,84.1727,High
Artibonite,HT05,Ennery,HT0512,79557,100,0.319,0.11,0.17,87.8,12.2,0,0,0.0014,24.4604,Very Low,5.00E-04,17.9856,Very Low,0.25,73.8,26.2,11.5,6.9,0.0027,19.4245,Very Low,9.00E-04,15.8273,Very Low,0.332,56.9,43.1,19.8,14.6,0.0043,25.1799,Low,0.0015,17.2662,Very Low,0.521,24,76,41.7,34.4,0.0076,30.9353,Low,0.0026,22.3022,Very Low,0.755,2.7,97.3,83.7,68.3,0.0128,49.6403,Low,0.0044,37.4101,Low
Artibonite,HT05,Gonaives,HT0511,610988,100,0.304,0.127,0.44,38.8,61.2,43.8,19.8,0.0604,97.1223,Very High,0.0252,94.2446,Very High,0.578,26.6,73.4,66.4,47.5,0.0808,96.4029,Very High,0.0338,93.5252,Very High,0.621,20.7,79.3,72.6,55.3,0.0886,96.4029,Very High,0.037,93.5252,Very High,0.693,8.4,91.6,83.1,63.6,0.0957,96.4029,Very High,0.04,94.2446,Very High,0.759,1.3,98.7,94.7,76.7,0.1044,97.1223,Very High,0.0436,94.2446,Very High
Artibonite,HT05,Grande Saline,HT0543,32321,100,0.409,0.173,0.835,0,100,100,100,0.0069,59.7122,Moderate,0.0029,55.3957,Moderate,0.829,0,100,100,100,0.0066,40.2878,Low,0.0028,37.4101,Low,0.824,0,100,100,100,0.0067,33.0935,Low,0.0028,30.9353,Low,0.818,0,100,100,100,0.0063,27.3381,Low,0.0027,23.741,Very Low,0.811,0,100,100,100,0.0062,20.8633,Very Low,0.0026,16.5468,Very Low
Artibonite,HT05,Gros Morne,HT0521,241688,100,0.36,0.177,0.219,68.3,31.7,1.4,0,0.0093,71.223,Moderate,0.0046,68.3453,Moderate,0.438,46.8,53.2,39.4,30.4,0.0255,82.0144,High,0.0125,81.295,High,0.541,34.2,65.8,52.8,47.4,0.0337,84.1727,High,0.0166,84.1727,High,0.672,17.1,82.9,72.7,64.6,0.042,85.6115,High,0.0206,84.8921,High,0.765,5.2,94.8,86.9,80.2,0.0485,85.6115,High,0.0239,86.3309,High
Artibonite,HT05,L'Estere,HT0513,78973,100,0.215,0.06,0.681,6,94,87.3,45.3,0.0086,66.1871,Moderate,0.0024,52.518,Moderate,0.727,1.7,98.3,94.9,51.4,0.0089,53.2374,Moderate,0.0025,34.5324,Low,0.739,1,99,98.3,54.8,0.0091,47.482,Low,0.0025,27.3381,Low,0.75,0,100,99.1,59.3,0.0088,36.6906,Low,0.0025,21.5827,Very Low,0.768,0,100,100,74.8,0.0088,32.3741,Low,0.0025,15.8273,Very Low
Artibonite,HT05,La Chapelle,HT0533,48097,100,0.334,0.095,0.34,52.8,47.2,32.2,0,0.003,38.1295,Low,9.00E-04,25.1799,Low,0.53,32.1,67.9,59.9,31.9,0.0052,33.0935,Low,0.0015,22.3022,Very Low,0.6,23.9,76.1,70.2,57.4,0.0061,31.6547,Low,0.0017,20.8633,Very Low,0.697,12.4,87.6,80.9,73,0.0069,29.4964,Low,0.002,15.8273,Very Low,0.811,4.4,95.6,90.1,88.4,0.0084,29.4964,Low,0.0024,15.1079,Very Low
Artibonite,HT05,Marmelade,HT0552,59071,100,0.392,0.221,0.119,100,0,0,0,2.00E-04,5.7554,Very Low,1.00E-04,7.9137,Very Low,0.128,100,0,0,0,0,0,Very Low,0,0,Very Low,0.146,99.2,0.8,0,0,0,0,Very Low,0,0,Very Low,0.227,75.7,24.3,0.8,0.4,4.00E-04,2.1583,Very Low,2.00E-04,2.1583,Very Low,0.483,6.5,93.5,33,11.2,0.0042,10.0719,Very Low,0.0024,14.3885,Very Low
