admin1_pc,admin2,admin2_pc,population,data_quality,n_sectors_available,n_dims_available,Food.Security_rate,Health_rate,Nutrition_rate,WASH_rate,Shelter_rate,Education_rate,Overarching.Protection_rate,CP_rate,GBV_rate,Migrants_rate,dim_basic_z,dim_living_z,dim_protection_z,dim_basic_wt,dim_living_wt,dim_protection_wt,index_comp_z_norm,index_comp_wt_norm,index_max_z_norm,index_max_wt_norm,index_geom_z_norm,index_geom_wt_norm,n_deprived_z,is_multidim_deprived_k2,af_score_k2_norm
HT01,Port-au-Prince,HT0111,926906,High,10,3,0.497388085,0.392763668,0.115024609,0.427831948,0.178987945,0.132891577,0.218393235,0.066287196,0.218393235,0.008086041,0.219476991,-0.198157439,0.253781664,0.156855271,-0.198157439,0.1424999,0.272586306,0.202003135,0.153113797,0.090343187,0.402017992,0.320810027,2,TRUE,0.666666667
HT01,Delmas,HT0112,435779,High,10,3,0.40104732,0.357047953,0.110776334,0.418140847,0.120737805,0.090929118,0.217172007,0.088976293,0.217172007,0.009158312,-0.076892671,-0.995900799,0.330713951,-0.112203567,-1.056066017,0.264015801,0.156834521,0.114766329,0.169851848,0.105385625,0.144806139,0.108658198,1,FALSE,0
HT01,Carrefour,HT0113,460506,High,10,3,0.261827207,0.132962437,0.116187411,0.12772472,0.076003353,0.149400876,0.111140789,0.111140789,0.082007618,0.00884679,-1.021406976,-0.236254735,-0.443840648,-1.219772406,-0.236254735,-0.480678285,0.047655392,0.025186888,0.046497255,0.035161183,0.11137466,0.050301033,0,FALSE,0
HT01,Petion-Ville,HT0114,394895,High,10,3,0.207080363,0.16311931,0.094169336,0.074465364,0.232049026,0.099750567,0.146183163,0.146183163,0.081029134,0.006424493,-1.260605355,-0.551263164,-0.243881234,-1.415076905,-0.551263164,-0.260657908,0.007343217,0,0.044837968,0.031735638,0.03267385,0,0,FALSE,0
HT01,Kenscoff,HT0115,63006,High,10,3,0.397216138,0.217534838,0.093292702,0.051249087,0,0.164206583,0.208662667,0.187648795,0.208662667,0.010951338,-0.790430128,-0.224703093,0.636834408,-0.863765255,0.799466063,0.49821336,0.198231555,0.230870881,0.236454053,0.180548349,0.210319709,0.179045161,1,FALSE,0
HT01,Gressier,HT0116,3987,High,10,3,1,0.391020818,0.557812892,1,0,0.155756208,0.520943065,0.520943065,0.207674944,0.191121144,4.025019634,-0.352560407,2.994864783,3.444360186,0.594894361,2.594884003,1,0.768825985,0.973616828,0.551819893,0.494340084,0.854611826,2,TRUE,0.666666667
HT01,Cite Soleil,HT0117,287439,High,10,3,0.53812809,0.114201622,0.119834121,0.176938411,0.308928155,0.19988241,0.21114393,0.042151552,0.21114393,0.002699703,-0.364557045,1.178681063,0.103794865,-0.449128481,1.639728179,0.135304881,0.345736818,0.30826337,0.35434288,0.298498406,0.366041756,0.283887608,2,TRUE,0.666666667
HT01,Tabarre,HT0118,141693,High,10,3,0.176324871,0.288962758,0.108890347,0.175343877,0.31017058,0.241331611,0.217780695,0.143775628,0.217780695,0.0076574,-0.960421612,1.809295968,0.531397205,-1.081216531,2.478232621,0.342842849,0.398351015,0.344179628,0.491544893,0.416201734,0.200891151,0.141328108,2,TRUE,0.666666667
HT01,Leogane,HT0121,233614,High,10,3,0.41928994,0.351952366,0.084922137,0.243752515,0.422068027,0.172151498,0.248358403,0.248358403,0.212568596,0.009626992,-0.362535386,1.075379867,0.96580343,-0.381585419,1.224753241,0.845522977,0.432305251,0.339740085,0.331867782,0.240247157,0.394114256,0.314855596,2,TRUE,0.666666667
HT01,Petit-Goave,HT0122,194867,High,10,3,0.435122417,0.289551335,0.076667676,0.174498504,0,0.171645276,0.208711583,0.119147932,0.208711583,0.004202867,-0.536478141,-0.112152922,0.371638218,-0.538937585,0.979546336,0.346869014,0.209759838,0.261547407,0.178755684,0.205826745,0.288513075,0.260015955,1,FALSE,0
HT01,Grand-Goave,HT0123,157549,High,10,3,0.424731353,0.31706961,0.077861491,0.204095234,0.349250075,0.170696101,0.22008391,0.100590927,0.22008391,0.001548725,-0.479675153,0.849799642,0.375456086,-0.485642641,1.041066594,0.394695919,0.326125292,0.275658856,0.282788604,0.214462524,0.334819895,0.275418352,2,TRUE,0.666666667
HT01,Croix-Des-Bouquets,HT0131,129879,High,10,3,0.542096875,0.174870456,0.497670909,0.226225949,0.276049246,0.176957014,0.440918085,0.440918085,0.211673943,0.016014906,1.532339575,0.739899726,2.130074115,2.288819079,0.739899726,1.913913018,0.742249327,0.622064413,0.561336151,0.389613199,0.931702716,0.77780496,3,TRUE,1
HT01,Thomazeau,HT0132,54753,High,10,3,0.474165799,0.234964294,0.111445948,0.161744562,0,0.162329005,0.298467664,0.298467664,0.203221741,0.025076252,-0.384540275,-0.253111554,1.259640285,-0.456897925,0.754012526,0.98056998,0.31206092,0.304079619,0.371957066,0.205970437,0.33541232,0.28989751,1,FALSE,0
HT01,Ganthier,HT0133,65036,High,10,3,0.471354327,0.600621194,0.198551571,0.586936466,0.230641491,0.166369395,0.253228981,0.253228981,0.206208869,0.033642905,1.034588056,0.452769666,1.021762657,0.920406269,0.452769666,0.733023429,0.526810256,0.37596472,0.322992764,0.19752508,0.723661188,0.544480351,3,TRUE,1
HT01,Cornillon / Grand Bois,HT0134,66185,High,10,3,0.441882602,0.476225731,0.088025988,0.105401526,0,0.186855028,0.245131072,0.086953237,0.077917957,0.245131072,-0.273564276,0.117976248,0.307494798,-0.188182008,1.347753008,0.456393033,0.258567187,0.333430034,0.164800089,0.257512995,0.376919198,0.354863368,2,TRUE,0.666666667
HT01,Fonds-Verrettes,HT0135,54717,High,10,3,0.398377104,0.258109911,0.131458231,0.08617066,0.32311713,0.192207175,0.203940275,0.203940275,0.078732387,0.058117221,-0.512266483,1.102216605,0.210885371,-0.440907545,1.838625119,0.235859579,0.332413118,0.334958215,0.337706614,0.326418153,0.323471463,0.291645659,2,TRUE,0.666666667
HT01,Arcahaie,HT0141,142752,High,10,3,0.397759751,0.396547859,0.08904954,0.371959762,0.086303519,0.18278553,0.174155178,0.174155178,0.029898005,0.004952645,-0.179052606,0.297661114,-0.309119244,-0.11794264,0.297661114,-0.180834764,0.219601214,0.193125981,0.162660588,0.110108516,0.349510268,0.3149152,1,FALSE,0
HT01,Cabaret,HT0142,65302,High,10,3,0.455391872,0.567670209,0.142690882,0.717206211,0.158693455,0.175691403,0.35109185,0.35109185,0.208155952,0.002970813,0.842042114,0.392687374,1.54612048,0.873769161,0.392687374,1.589475361,0.55773218,0.441014372,0.434286166,0.291444271,0.730123989,0.586010592,3,TRUE,1
HT01,Anse a Galets,HT0151,70156,High,10,3,0.582843948,0.254746565,0.098509037,0.273119904,0.609655625,0.190603797,0.17375563,0.17375563,0.080021666,0.000256571,-0.047364525,1.878963249,-0.097429387,0.144140873,1.971751282,-0.061472803,0.438623405,0.371472089,0.506702307,0.345105463,0.432258219,0.376373466,1,FALSE,0
HT01,Pointe a Raquette,HT0152,26818,High,10,3,0.597583712,0.323364904,0.103549855,0.345178611,0.345029458,0.18487583,0.203184428,0.190804683,0.203184428,0.003094936,0.191754039,1.052545629,0.592848923,0.366344122,1.296045604,0.451090716,0.450342102,0.376596454,0.326899768,0.250254675,0.616017935,0.522730594,3,TRUE,1
HT02,Jacmel,HT0211,258099,High,10,3,0.477200609,0.575310249,0.088958113,0.463058749,0.426572749,0.09369273,0.160248587,0.160248587,0.081364128,0.054463597,0.363302509,-0.099137559,-0.047466484,0.458771271,0.028343595,-0.087135978,0.265940267,0.227926527,0.176942096,0.132724021,0.416833934,0.347177561,1,FALSE,0
HT02,Marigot,HT0212,92869,High,10,3,0.393640504,0.444626302,0.083795454,0.233468649,0.278919769,0.098827381,0.127566788,0.086261293,0.083924668,0.127566788,-0.29994962,-0.434206115,-0.214124624,-0.179711046,-0.434206115,-0.277391872,0.133369551,0.115889465,0.051312073,0.043098386,0.293322651,0.243126398,0,FALSE,0
HT02,Cayes-Jacmel,HT0213,49845,High,10,3,0.374641388,0.517684823,0.084622329,0.169264721,0.331427425,0.102216872,0.213822851,0.136984652,0.082856856,0.213822851,-0.304101074,-0.236138899,0.366823295,-0.212926855,-0.236138899,0.365429341,0.221546461,0.18596622,0.177708108,0.119621341,0.346069735,0.295414294,1,FALSE,0
HT02,La Vallee,HT0214,47372,High,10,3,0.33509246,0.461137381,0.086190155,0.305328042,0.408469138,0.10124124,0.100966816,0.100966816,0.077809677,0.052562695,-0.312060733,-0.035533706,-0.422933948,-0.323434001,0.053912149,-0.497194353,0.153597134,0.126699613,0.090167852,0.075892759,0.30089097,0.232105396,0,FALSE,0
HT02,Bainet,HT0221,113034,High,10,3,0.351628713,0.439947273,0.083249288,0.311897305,0.382460145,0.104393368,0.121954456,0.121954456,0.080144027,0.027690783,-0.312689397,-0.06054788,-0.344016902,-0.232980628,0.001113377,-0.386193896,0.159659562,0.139597493,0.084725552,0.068481241,0.319522253,0.260034436,0,FALSE,0
HT02,Cotes de Fer,HT0222,63370,High,10,3,0.363973489,0.429556573,0.078996371,0.298279943,0,0.101720057,0.155988638,0.155988638,0.076929146,0.033517437,-0.33582953,-1.170147367,-0.141131777,-0.253340765,-0.979771288,-0.151711602,0.053845213,0.073070255,0.067193025,0.04702875,0.070589327,0.116323181,0,FALSE,0
HT02,Belle Anse,HT0231,95781,High,10,3,0.475125547,0.623829361,0.08885896,0.27329011,0.221338261,0.105323603,0.277320137,0.116139944,0.082135288,0.277320137,0.212755499,-0.496882557,0.582438357,0.318106983,-0.496882557,0.684423883,0.275227536,0.237094809,0.224619179,0.16439954,0.318140912,0.264940954,2,TRUE,0.666666667
HT02,Grand Gosier,HT0232,25416,High,10,3,0.402148253,1,0.080421782,0.863707901,0.293201133,0.113550519,0.41580107,0.266446333,0.081720176,0.41580107,1.240252434,-0.17151662,1.772298676,1.287794589,-0.199410188,1.903482271,0.564580978,0.452808592,0.483495443,0.335522342,0.47789071,0.380538877,2,TRUE,0.666666667
HT02,Thiotte,HT0233,46178,High,10,3,0.418749188,1,0.076876435,0.434167786,0.30012127,0.101563515,0.598098662,0.144809217,0.080774395,0.598098662,0.769792187,-0.333539479,2.170863709,1.21537399,-0.315114717,2.868060619,0.53796188,0.520176633,0.570210687,0.470923033,0.417927162,0.361568483,2,TRUE,0.666666667
HT02,Anse-a-Pitre,HT0234,43459,High,10,3,0.351342645,1,0.078947974,0.826756253,0.714926713,0.099404036,1,0.175291654,0.080213535,1,1.078809963,0.79335802,4.14628332,1.574486536,1.08691623,6.637141714,0.926160444,1,1,1,1,1,3,TRUE,1
HT03,Cap-Haitien,HT0311,303590,High,10,3,0.314713923,0.360838631,0.092012253,0.273352218,0.407737409,0.088471294,0.120356402,0.120356402,0.084251787,0.025010705,-0.514343884,-0.230793233,-0.34133237,-0.502882516,-0.230793233,-0.329102374,0.117644088,0.101012153,0.047685506,0.03592783,0.268004327,0.224472641,0,FALSE,0
HT03,Quartier Morin,HT0312,29881,High,10,3,0.448847093,0.322613032,0.092265988,0.251062548,0.655399752,0.087346474,0.265185235,0.265185235,0.079080352,0.013453365,-0.298057298,0.44451753,0.476472839,-0.315961523,0.44451753,0.576363311,0.312168414,0.254384321,0.201564408,0.149230761,0.385419458,0.310532362,2,TRUE,0.666666667
HT03,Limonade,HT0313,61261,High,10,3,0.441292176,0.365779207,0.088016846,0.281304582,0.548015867,0.095525702,0.144104732,0.144104732,0.0800999,0.021367591,-0.236331673,0.268085115,-0.226083116,-0.217192999,0.268085115,-0.243848046,0.219166631,0.176481242,0.156225779,0.105956847,0.358657855,0.292847877,1,FALSE,0
HT03,Acul du Nord,HT0321,59632,High,10,3,0.459618997,0.272840086,0.092634827,0.49231956,0.532348404,0.088660451,0.144184331,0.144184331,0.030067749,0.01467333,-0.070029865,0.120413595,-0.465514741,-0.238958407,0.120413595,-0.417776828,0.194040174,0.146689524,0.12409709,0.085227762,0.305834628,0.255120965,1,FALSE,0
HT03,Plaine du Nord,HT0322,43982,High,10,3,0.45984721,0.272702469,0.092674276,0.398867719,0.465076622,0.096084762,0.263107635,0.263107635,0.082033559,0.015483607,-0.176334365,0.044690727,0.481953576,-0.306098504,0.044690727,0.575042734,0.281144808,0.220434999,0.202756844,0.149045388,0.406453492,0.300868566,2,TRUE,0.666666667
HT03,Milot,HT0323,34193,High,10,3,0.458690375,0.282046033,0.092621297,0.181235925,0.329014711,0.094785482,0.197613547,0.197613547,0.080016378,0.019506917,-0.414089151,-0.35532322,0.089812806,-0.442873071,-0.35532322,0.122565663,0.163944532,0.134602545,0.117439319,0.085529854,0.301347692,0.242459609,1,FALSE,0
